param,mean,median,0.950_CI_LB,0.950_CI_UB
alpha_loc_0_pop_0,-1.570394,-1.509452,-2.310529,-1.175933
alpha_loc_1_pop_0,-0.890533,-0.874902,-1.108834,-0.778029
alpha_loc_2_pop_0,-0.879445,-0.854698,-1.211970,-0.772065
alpha_loc_3_pop_0,-0.644895,-0.645756,-0.739205,-0.546528
alpha_loc_4_pop_0,-0.333848,-0.333437,-0.437749,-0.232445
alpha_loc_5_pop_0,0.038055,0.037409,-0.079516,0.155857
alpha_loc_6_pop_0,1.121535,1.111301,0.932829,1.374810
alpha_loc_7_pop_0,0.190207,0.189710,0.105587,0.277767
alpha_loc_8_pop_0,0.132584,0.132775,0.046864,0.216060
alpha_loc_9_pop_0,0.149710,0.150187,0.038833,0.258528
alpha_loc_10_pop_0,0.090111,0.089882,0.003477,0.176134
alpha_loc_11_pop_0,0.346372,0.347028,0.251248,0.437792
alpha_loc_12_pop_0,1.144867,1.132108,0.951751,1.418317
alpha_loc_13_pop_0,-1.609943,-1.566730,-2.312556,-1.200860
alpha_loc_14_pop_0,-0.752426,-0.753448,-0.821787,-0.673778
alpha_loc_15_pop_0,-1.014123,-0.998392,-1.277507,-0.839882
alpha_loc_16_pop_0,-0.992239,-0.977031,-1.253327,-0.824417
alpha_loc_17_pop_0,-0.083055,-0.083100,-0.195458,0.032256
alpha_loc_18_pop_0,0.086779,0.087298,-0.043260,0.213584
alpha_loc_19_pop_0,-0.436372,-0.436164,-0.526965,-0.347682
alpha_loc_20_pop_0,0.503027,0.505602,0.339325,0.658102
alpha_loc_21_pop_0,0.246392,0.245448,0.118719,0.381657
alpha_loc_22_pop_0,0.017687,0.019751,-0.171466,0.197772
alpha_loc_23_pop_0,-0.325719,-0.326532,-0.495169,-0.150966
alpha_loc_24_pop_0,-0.283957,-0.285029,-0.427345,-0.135865
alpha_loc_25_pop_0,-0.351745,-0.349019,-0.556536,-0.158959
alpha_loc_26_pop_0,0.330185,0.327980,0.205995,0.466858
alpha_loc_27_pop_0,0.248764,0.246514,0.160980,0.352130
alpha_loc_28_pop_0,0.332298,0.334389,0.213947,0.437510
alpha_loc_29_pop_0,0.356824,0.357161,0.260456,0.454485
alpha_loc_30_pop_0,0.060669,0.058844,-0.021986,0.152918
alpha_loc_31_pop_0,-0.146292,-0.144528,-0.337905,0.036622
alpha_loc_32_pop_0,0.468253,0.469117,0.346296,0.586885
alpha_loc_33_pop_0,0.011483,0.011971,-0.098018,0.116692
alpha_loc_34_pop_0,0.003320,0.003880,-0.112877,0.119098
alpha_loc_35_pop_0,0.345876,0.347451,0.219872,0.462510
alpha_loc_36_pop_0,0.606848,0.607970,0.502150,0.707753
alpha_loc_37_pop_0,-0.277560,-0.277305,-0.413286,-0.146044
alpha_loc_38_pop_0,0.502004,0.097491,-0.132589,1.600379
alpha_loc_39_pop_0,0.321175,0.321475,0.201629,0.437848
alpha_loc_40_pop_0,0.113599,0.114239,-0.015203,0.240394
alpha_loc_41_pop_0,0.014817,0.013718,-0.074697,0.109548
alpha_loc_42_pop_0,0.493604,0.494893,0.398162,0.582431
alpha_loc_43_pop_0,0.475434,0.478880,0.319747,0.617048
alpha_loc_44_pop_0,-0.112535,-0.166498,-0.349758,1.094032
alpha_loc_45_pop_0,-0.656897,-0.634604,-1.057416,-0.415457
alpha_loc_46_pop_0,0.584760,0.258557,0.052218,1.896597
alpha_loc_47_pop_0,-0.276249,-0.276170,-0.380043,-0.175240
alpha_loc_48_pop_0,-0.183847,-0.183176,-0.292860,-0.076451
alpha_loc_49_pop_0,-0.020431,-0.018226,-0.241192,0.186101
alpha_loc_50_pop_0,-0.311770,-0.311582,-0.457616,-0.168798
alpha_loc_51_pop_0,-0.456449,-0.456695,-0.569518,-0.340394
alpha_loc_52_pop_0,1.726202,1.676804,1.207659,2.701915
alpha_loc_53_pop_0,-0.355504,-0.354516,-0.583877,-0.132886
alpha_loc_54_pop_0,-0.263763,-0.263643,-0.392833,-0.134618
alpha_loc_55_pop_0,-0.227033,-0.225443,-0.385635,-0.075155
alpha_loc_56_pop_0,-0.635553,-0.636204,-0.787684,-0.480373
alpha_loc_57_pop_0,0.245581,0.246807,0.006375,0.480588
alpha_loc_58_pop_0,0.341710,0.322874,0.145609,0.526825
alpha_loc_59_pop_0,-0.044556,-0.042273,-0.233551,0.127074
alpha_loc_60_pop_0,-0.038856,-0.038233,-0.188928,0.108373
alpha_loc_61_pop_0,0.170017,0.143867,-0.107645,1.017808
alpha_loc_62_pop_0,0.371195,0.370460,0.213403,0.530445
alpha_loc_63_pop_0,0.023227,0.023022,-0.150561,0.198651
alpha_loc_64_pop_0,-0.371660,-0.371157,-0.502406,-0.241103
alpha_loc_65_pop_0,0.272889,0.275704,0.036454,0.492369
alpha_loc_66_pop_0,0.168771,0.171340,-0.012020,0.329428
alpha_loc_67_pop_0,-0.264736,-0.265628,-0.438581,-0.086292
alpha_loc_68_pop_0,-0.560190,-0.564556,-0.769717,-0.322200
alpha_loc_69_pop_0,-0.139460,-0.139032,-0.324022,0.045109
alpha_loc_70_pop_0,0.344032,0.344780,0.227580,0.455562
alpha_loc_71_pop_0,0.283419,0.288501,-0.034571,0.560963
alpha_loc_72_pop_0,0.003442,0.004503,-0.145961,0.146286
alpha_loc_73_pop_0,0.183846,0.050136,-0.132437,1.540294
alpha_loc_74_pop_0,0.440567,0.352506,0.070697,1.702614
alpha_loc_75_pop_0,0.621687,0.305718,0.146081,1.888969
alpha_loc_76_pop_0,0.978212,0.531443,0.357757,2.241187
