param,mean,median,0.950_CI_LB,0.950_CI_UB
beta_loc_0_pop_0,2.689510,2.595116,1.697640,4.243085
beta_loc_1_pop_0,-0.172212,-0.248869,-0.417660,0.548653
beta_loc_2_pop_0,-0.002427,-0.084185,-0.347255,0.886772
beta_loc_3_pop_0,-0.235306,-0.238281,-0.457184,0.003583
beta_loc_4_pop_0,0.547515,0.542494,0.243134,0.887137
beta_loc_5_pop_0,-0.112899,-0.110246,-0.452106,0.218338
beta_loc_6_pop_0,0.917022,0.917047,0.340095,1.504361
beta_loc_7_pop_0,0.350886,0.350722,0.116261,0.581907
beta_loc_8_pop_0,0.102184,0.107808,-0.146235,0.313688
beta_loc_9_pop_0,-0.221883,-0.219268,-0.535559,0.067175
beta_loc_10_pop_0,0.062718,0.068105,-0.203835,0.293462
beta_loc_11_pop_0,0.207962,0.215921,-0.092371,0.466624
beta_loc_12_pop_0,0.915720,0.904559,0.304086,1.557312
beta_loc_13_pop_0,1.895772,1.843552,0.899630,3.141020
beta_loc_14_pop_0,-0.508888,-0.512003,-0.672449,-0.319877
beta_loc_15_pop_0,0.893836,0.902232,0.150180,1.623266
beta_loc_16_pop_0,0.985426,0.990015,0.291606,1.669595
beta_loc_17_pop_0,0.075608,0.079472,-0.192975,0.329390
beta_loc_18_pop_0,-0.238944,-0.237701,-0.579731,0.089059
beta_loc_19_pop_0,0.263773,0.262895,-0.016430,0.555482
beta_loc_20_pop_0,-0.078855,-0.068119,-0.560385,0.361357
beta_loc_21_pop_0,-0.337508,-0.333025,-0.683808,-0.013849
beta_loc_22_pop_0,-0.404266,-0.416571,-0.888863,0.157667
beta_loc_23_pop_0,0.071978,0.081577,-0.404632,0.533496
beta_loc_24_pop_0,-0.055696,-0.051716,-0.394738,0.263927
beta_loc_25_pop_0,-0.586427,-0.612617,-0.922397,-0.094949
beta_loc_26_pop_0,0.125523,0.116150,-0.183487,0.483952
beta_loc_27_pop_0,0.210359,0.202424,0.011207,0.505490
beta_loc_28_pop_0,0.757945,0.773393,0.339557,1.085098
beta_loc_29_pop_0,-0.027758,-0.023331,-0.256925,0.178205
beta_loc_30_pop_0,0.447457,0.445643,0.254173,0.659996
beta_loc_31_pop_0,-0.511625,-0.526988,-0.928038,-0.004831
beta_loc_32_pop_0,-0.010751,-0.028303,-0.385259,0.425750
beta_loc_33_pop_0,-0.029882,-0.024951,-0.303870,0.228889
beta_loc_34_pop_0,-0.578477,-0.579797,-0.887045,-0.266537
beta_loc_35_pop_0,-0.132229,-0.126621,-0.517603,0.217229
beta_loc_36_pop_0,0.088548,0.085136,-0.235754,0.427139
beta_loc_37_pop_0,-0.662838,-0.672737,-0.930288,-0.335931
beta_loc_38_pop_0,-0.856988,-0.842508,-1.460716,-0.303862
beta_loc_39_pop_0,-0.164880,-0.158247,-0.491591,0.123693
beta_loc_40_pop_0,0.112655,0.114015,-0.244330,0.453996
beta_loc_41_pop_0,0.581336,0.564677,0.363717,0.907810
beta_loc_42_pop_0,-0.012138,-0.000931,-0.342343,0.264490
beta_loc_43_pop_0,0.570711,0.570882,0.059056,1.095687
beta_loc_44_pop_0,-0.658170,-0.674400,-0.966556,-0.242405
beta_loc_45_pop_0,-0.148654,-0.277373,-0.789307,1.047559
beta_loc_46_pop_0,-0.813772,-0.707725,-1.696867,-0.215157
beta_loc_47_pop_0,-0.120051,-0.119985,-0.381141,0.132600
beta_loc_48_pop_0,-0.376250,-0.375161,-0.664220,-0.095599
beta_loc_49_pop_0,-0.240282,-0.235888,-0.786624,0.313195
beta_loc_50_pop_0,-0.346199,-0.341779,-0.722218,0.015962
beta_loc_51_pop_0,-0.330831,-0.330280,-0.605704,-0.047548
beta_loc_52_pop_0,0.214420,0.236416,-0.647599,1.265206
beta_loc_53_pop_0,-0.244144,-0.243865,-0.694949,0.203058
beta_loc_54_pop_0,0.304387,0.307009,-0.016239,0.599795
beta_loc_55_pop_0,0.000478,-0.006120,-0.470200,0.530336
beta_loc_56_pop_0,-0.201302,-0.194479,-0.575160,0.143748
beta_loc_57_pop_0,0.435885,0.441378,-0.159371,1.003148
beta_loc_58_pop_0,-0.463034,-0.449494,-0.915418,-0.041987
beta_loc_59_pop_0,0.436328,0.447755,-0.099447,0.911754
beta_loc_60_pop_0,-0.070536,-0.067470,-0.459593,0.288670
beta_loc_61_pop_0,-0.166133,-0.153237,-0.959348,0.565392
beta_loc_62_pop_0,-0.403324,-0.400415,-0.797493,-0.018585
beta_loc_63_pop_0,-0.338524,-0.339591,-0.779290,0.106069
beta_loc_64_pop_0,-0.121083,-0.120896,-0.455548,0.203785
beta_loc_65_pop_0,-0.179268,-0.174483,-0.787052,0.445092
beta_loc_66_pop_0,-0.002716,-0.001593,-0.452472,0.458201
beta_loc_67_pop_0,-0.135565,-0.137186,-0.609045,0.352202
beta_loc_68_pop_0,-0.452178,-0.462187,-0.807996,-0.028789
beta_loc_69_pop_0,0.325947,0.336297,-0.169360,0.749878
beta_loc_70_pop_0,-0.287834,-0.282727,-0.617187,0.016896
beta_loc_71_pop_0,0.140041,0.098853,-0.682772,1.358816
beta_loc_72_pop_0,-0.110841,-0.109241,-0.484947,0.249028
beta_loc_73_pop_0,-0.553362,-0.504107,-1.375039,-0.045009
beta_loc_74_pop_0,-0.340369,-0.305013,-1.447734,0.416880
beta_loc_75_pop_0,-0.805046,-0.670505,-1.722109,-0.252252
beta_loc_76_pop_0,-0.879586,-0.600936,-2.069170,-0.090472
