param,mean,median,0.950_CI_LB,0.950_CI_UB
hi_param_0,0.044766,0.040835,0.004593,0.106991
hi_param_1,0.028490,0.024144,0.001506,0.080665
hi_param_2,0.068242,0.067327,0.016377,0.128624
hi_param_3,0.027075,0.022823,0.001806,0.076622
hi_param_4,0.032102,0.028093,0.002890,0.083452
hi_param_5,0.040095,0.036090,0.003930,0.097214
hi_param_6,0.059278,0.057046,0.014449,0.118952
hi_param_7,0.065033,0.061866,0.012019,0.134272
hi_param_8,0.066487,0.064249,0.011536,0.135065
hi_param_9,0.044729,0.040744,0.004994,0.107253
hi_param_10,0.063925,0.061891,0.013769,0.126304
hi_param_11,0.136730,0.131872,0.070785,0.232857
hi_param_12,0.105247,0.102939,0.044074,0.179570
hi_param_13,0.117594,0.114428,0.051275,0.201024
hi_param_14,0.072340,0.071074,0.015002,0.142475
hi_param_15,0.134732,0.130938,0.068884,0.221685
hi_param_16,0.064367,0.061583,0.011817,0.131697
hi_param_17,0.170656,0.164069,0.097375,0.283564
hi_param_18,0.137676,0.131757,0.070713,0.231243
hi_param_19,0.120682,0.117478,0.062658,0.197023
hi_param_20,0.131557,0.129955,0.068567,0.208442
hi_param_21,0.097401,0.096057,0.035591,0.167889
hi_param_22,0.135993,0.130260,0.070277,0.232949
hi_param_23,0.182524,0.176571,0.112605,0.279575
hi_param_24,0.113832,0.111131,0.043726,0.202409
hi_param_25,0.053770,0.050782,0.010745,0.111607
hi_param_26,0.098883,0.096662,0.038694,0.172688
hi_param_27,0.163501,0.158583,0.092809,0.258778
hi_param_28,0.167441,0.163979,0.110204,0.247011
hi_param_29,0.285655,0.284853,0.168699,0.422918
hi_param_30,0.223741,0.214992,0.127398,0.367154
hi_param_31,0.136382,0.133787,0.074020,0.216871
hi_param_32,0.192823,0.190270,0.115324,0.287473
hi_param_33,0.150956,0.145225,0.080904,0.251531
hi_param_34,0.137521,0.132106,0.068970,0.234010
hi_param_35,0.189266,0.178400,0.108345,0.316910
hi_param_36,0.190574,0.184097,0.111974,0.297275
hi_param_37,0.121288,0.119246,0.053839,0.205338
hi_param_38,0.221905,0.215178,0.137682,0.338679
hi_param_39,0.266290,0.263728,0.153410,0.394896
hi_param_40,0.071894,0.069619,0.014962,0.143688
hi_param_41,0.172379,0.163681,0.094484,0.288691
hi_param_42,0.146327,0.142777,0.073404,0.237133
hi_param_43,0.189552,0.178542,0.108594,0.319326
hi_param_44,0.191512,0.184545,0.111520,0.301167
hi_param_45,0.237391,0.234227,0.149328,0.350880
hi_param_46,0.162027,0.156064,0.089890,0.265290
hi_param_47,0.142542,0.139158,0.066926,0.242824
hi_param_48,0.107439,0.104885,0.047437,0.182283
hi_param_49,0.122289,0.120344,0.055179,0.203034
hi_param_50,0.154651,0.150153,0.090140,0.246915
hi_param_51,0.226579,0.218522,0.130563,0.366101
hi_param_52,0.241666,0.235999,0.151594,0.368709
hi_param_53,0.111436,0.108207,0.051387,0.192279
hi_param_54,0.177822,0.172908,0.093990,0.290202
hi_param_55,0.031912,0.027689,0.002162,0.085300
hi_param_56,0.068535,0.067121,0.017638,0.130397
hi_param_57,0.043078,0.040059,0.004536,0.097856
hi_param_58,0.050676,0.047566,0.008045,0.112347
hi_param_59,0.075017,0.073537,0.020773,0.140237
hi_param_60,0.149917,0.144217,0.087132,0.240022
hi_param_61,0.110897,0.108546,0.051121,0.186263
hi_param_62,0.046584,0.043196,0.004501,0.105105
hi_param_63,0.090889,0.089386,0.032615,0.157413
hi_param_64,0.078685,0.077115,0.025596,0.142138
hi_param_65,0.201803,0.195371,0.131786,0.291271
hi_param_66,0.056726,0.052321,0.007966,0.127267
hi_param_67,0.028725,0.024051,0.001397,0.080387
hi_param_68,0.041232,0.037597,0.003662,0.098942
hi_param_69,0.100775,0.097521,0.041279,0.178331
hi_param_70,0.095612,0.093890,0.039242,0.162545
hi_param_71,0.093314,0.091638,0.039303,0.156983
hi_param_72,0.045528,0.041845,0.005008,0.106564
hi_param_73,0.085757,0.083366,0.031264,0.157503
hi_param_74,0.024722,0.020785,0.001366,0.071447
hi_param_75,0.062931,0.060419,0.009527,0.132611
hi_param_76,0.043696,0.039826,0.003829,0.102825
hi_param_77,0.101735,0.098975,0.035810,0.186803
hi_param_78,0.066025,0.063869,0.015903,0.128779
hi_param_79,0.115609,0.113510,0.052632,0.193295
hi_param_80,0.302824,0.304712,0.201661,0.393310
hi_param_81,0.124763,0.122335,0.062902,0.207995
hi_param_82,0.190078,0.182714,0.103897,0.312946
hi_param_83,0.137960,0.131310,0.064083,0.247814
hi_param_84,0.107721,0.105098,0.040747,0.192301
hi_param_85,0.169566,0.162047,0.089152,0.283603
hi_param_86,0.097367,0.095324,0.040632,0.167689
hi_param_87,0.086200,0.084483,0.025316,0.157547
hi_param_88,0.091132,0.089046,0.031983,0.163209
hi_param_89,0.303762,0.304560,0.195708,0.392806
hi_param_90,0.077704,0.076030,0.022608,0.145943
hi_param_91,0.138902,0.133804,0.066360,0.238034
hi_param_92,0.073773,0.071119,0.017912,0.145033
hi_param_93,0.163189,0.157275,0.085657,0.273136
hi_param_94,0.207973,0.199890,0.120567,0.332060
