site,individual,BGC
Chambery,PD07-073,0
Chambery,PD07-074,1
Chambery,PD07-075,2
Chambery,PD07-076,3
Chambery,PD07-077,4
Chambery,PD07-078,5
Chambery,PD07-079,6
Chambery,PD07-080,7
Chambery,PD07-081,8
StJeanDeMaurienne,PD07-065,9
StJeanDeMaurienne,PD07-067,10
StJeanDeMaurienne,PD07-069,11
StJeanDeMaurienne,PD07-070,12
StJeanDeMaurienne,P?07-066,13
StJeanDeMaurienne,P?07-068,14
Modane,PX07-057,15
Modane,PX07-058,16
Modane,PX07-060,17
Modane,P?07-061,18
Modane,PD07-063,19
Bardonecchia,PX07-053,20
Bardonecchia,P?07-050,21
Bardonecchia,P?07-052,22
Bardonecchia,P?07-054,23
Bardonecchia,P?07-055,24
Oulx,PI07-231,25
Oulx,PI07-237,26
Oulx,PI07-238,27
Susa,PI07-199,28
Susa,PI07-201,29
Susa,PI07-203,30
Susa,PI07-204,31
Susa,PI07-207,32
Susa,PI07-208,33
Susa,PI07-210,34
Susa,PI07-213,35
Susa,PI07-214,36
Susa,PI07-218,37
Susa,PI07-219,38
Susa,PI07-220,39
Susa,PX07-200,40
Susa,PX07-211,41
Susa,PX07-212,42
Susa,PX07-213,43
Susa,PX07-214,44
Susa,PX07-229,45
Bussoleno,PI07-198,46
Avigliana,PX07-187,47
Avigliana,PI07-184,48
Avigliana,PI07-185,49
Avigliana,PI07-187,50
Avigliana,PI07-191,51
Avigliana,PI07-193,52
Avigliana,PI07-194,53
Avigliana,PI07-197,54
Vouvry,PD07-169,55
StMaurice,P?07-011,56
StMaurice,P?07-013,57
StMaurice,PD07-010,58
StMaurice,PD07-014,59
StMaurice,PD07-016,60
Martigny,P?07-004,61
Martigny,P?07-008,62
Martigny,P?07-009,63
Martigny,PD07-001,64
Martigny,PD07-002,65
Martigny,P?07-005?,66
Martigny,PD07-006,67
Sembrancher,PD07-018,68
Sembrancher,PD07-020,69
Sembrancher,PD07-021,70
Sembrancher,P?07-017,71
Liddes,PD07-158,72
Liddes,PD07-159,73
Liddes,PD07-160,74
Liddes,PD07-162,75
Liddes,PX07-156,76
Liddes,PX07-157,77
SaintRhemyenBosses,PX07-170,78
SaintRhemyenBosses,PX07-171,79
SaintRhemyenBosses,PX07-172,80
SaintRhemyenBosses,PX07-173,81
SaintRhemyenBosses,PX07-174,82
SaintRhemyenBosses,PX07-175,83
SaintRhemyenBosses,PD07-177,84
Valpelline,PI07-032,85
Valpelline,PX07-030,86
Valpelline,P?07-024,87
Valpelline,P?07-026,88
Valpelline,P?07-027,89
Valpelline,P?07-031,90
Aosta,PI07-037,91
Aosta,PI07-041,92
Aosta,PX07-036,93
Aosta,P?07-033,94
Aosta,P?07-038,95
Aosta,P?07-040,96
SaintVincent,PX07-180,97
SaintVincent,PX07-181,98
SaintVincent,PI07-178,99
SaintVincent,PI07-179,100
SaintVincent,PI07-182,101
PontSaintMartin,P?07-042,102
PontSaintMartin,PI07-044,103
PontSaintMartin,PI07-045,104
PontSaintMartin,PI07-049,105
Ljubljana,PD07-131,106
Ljubljana,PD07-132,107
Ljubljana,PD07-133,108
Ljubljana,PD07-134,109
Ljubljana,PD07-135,110
Ljubljana,PD07-137,111
Ljubljana,PD07-139,112
Ozeljan,PX07-118,113
Ozeljan,PX07-120,114
Ozeljan,PX07-124,115
Ozeljan,P?07-123,116
Postojna,PD07-126,117
Postojna,PD07-127,118
Postojna,PD07-129,119
Postojna,PX07-130,120
Cormons,P?07-143,121
Manzano,P?07-145,122
Pordenone,PI07-239,123
Pordenone,PI07-240,124
Pordenone,PI07-243,125
Zompicchia,PX07-246,126
Zompicchia,PX07-247,127
Luni,PI08-067,128
Luni,PI08-069,129
Luni,PI08-070,130
Luni,PI08-074,131
Luni,PI08-076,132
