site,individual
LesinaSPANISH,PH08-280
LesinaSPANISH,PH08-281
LesinaSPANISH,PH08-282
LesinaSPANISH,PH08-285
LesinaSPANISH,PH08-286
LesinaSPANISH,PH08-287
LesinaSPANISH,PH08-288
LesinaSPANISH,PH08-289
Lauro_Lesina,I102
Lauro_Lesina,I105
Lauro_Lesina,I108
Lauro_Lesina,I111
Lauro_Lesina,I115
Lauro_Lesina,I27
MasseriaFontanarosa,I284
MasseriaFontanarosa,I285
MasseriaFontanarosa,I286
MasseriaFontanarosa,I292
MasseriaFontanarosa,I293
MasseriaFontanarosa,I296
MasseriaFontanarosa,I297
MasseriaFontanarosa,I298
MasseriaFontanarosa,I299
MasseriaFontanarosa,I301
MasseriaFontanarosa,I302
MasseriaFontanarosa,I304
MasseriaFontanarosa,I305
MasseriaFontanarosa,I306
MasseriaFontanarosa,I308
MasseriaFontanarosa,I310
MasseriaFontanarosa,I311
MasseriaFontanarosa,I315
MasseriaFontanarosa,I316
MasseriaFontanarosa,I317
MasseriaFontanarosa,I319
MasseriaFontanarosa,I320
MasseriaFontanarosa,I323
MasseriaFontanarosa,I367
MasseriaFontanarosa,I372
MasseriaFontanarosa,I374
MasseriaFontanarosa,I377
MasseriaFontanarosa,I378
MasseriaFontanarosa,I379
MasseriaFontanarosa,I381
MasseriaFontanarosa,I382
MasseriaFontanarosa,I383
Lauro_Lesina,I42
Lauro_Lesina,I44
MasseriaMustazzo,I58
MasseriaMustazzo,I73
MasseriaMustazzo,I74
MasseriaMustazzo,I75
