param,mean,median,0.950_CI_LB,0.950_CI_UB
gamma-quantile_param_0,0.005408,0.003873,0.000252,0.019353
gamma-quantile_param_1,0.064524,0.062107,0.029171,0.112624
gamma-quantile_param_2,0.067423,0.065414,0.029010,0.116927
gamma-quantile_param_3,0.134143,0.131933,0.077889,0.202086
gamma-quantile_param_4,0.282558,0.283279,0.211489,0.351225
gamma-quantile_param_5,0.526772,0.525607,0.446158,0.611357
gamma-quantile_param_6,0.969088,0.974261,0.916169,0.994901
gamma-quantile_param_7,0.629070,0.628012,0.568423,0.695883
gamma-quantile_param_8,0.590691,0.589871,0.532179,0.652572
gamma-quantile_param_9,0.602176,0.601520,0.526050,0.681667
gamma-quantile_param_10,0.562106,0.561203,0.502337,0.625680
gamma-quantile_param_11,0.725269,0.725589,0.653776,0.797649
gamma-quantile_param_12,0.971284,0.976746,0.917806,0.995800
gamma-quantile_param_13,0.004441,0.003073,0.000202,0.016294
gamma-quantile_param_14,0.098638,0.095974,0.051149,0.160731
gamma-quantile_param_15,0.043037,0.040547,0.014670,0.084503
gamma-quantile_param_16,0.046303,0.044045,0.016802,0.089068
gamma-quantile_param_17,0.443247,0.443064,0.365282,0.522475
gamma-quantile_param_18,0.559750,0.559585,0.470651,0.651037
gamma-quantile_param_19,0.225929,0.225332,0.162530,0.292448
gamma-quantile_param_20,0.805343,0.807765,0.706303,0.893332
gamma-quantile_param_21,0.664587,0.663307,0.576744,0.758302
gamma-quantile_param_22,0.512288,0.513423,0.383122,0.636148
gamma-quantile_param_23,0.288876,0.287577,0.187145,0.399448
gamma-quantile_param_24,0.312816,0.312728,0.219213,0.409367
gamma-quantile_param_25,0.274599,0.274547,0.156127,0.394356
gamma-quantile_param_26,0.715224,0.713143,0.631103,0.808630
gamma-quantile_param_27,0.666379,0.664277,0.604768,0.743071
gamma-quantile_param_28,0.717530,0.718315,0.627376,0.805593
gamma-quantile_param_29,0.730992,0.730501,0.660442,0.802028
gamma-quantile_param_30,0.541802,0.540164,0.485026,0.607617
gamma-quantile_param_31,0.401314,0.401955,0.274819,0.524827
gamma-quantile_param_32,0.789738,0.790423,0.706469,0.869654
gamma-quantile_param_33,0.508144,0.508128,0.433877,0.582164
gamma-quantile_param_34,0.502302,0.502643,0.421091,0.582835
gamma-quantile_param_35,0.724606,0.724958,0.638168,0.809333
gamma-quantile_param_36,0.851263,0.853362,0.776592,0.915421
gamma-quantile_param_37,0.316475,0.317115,0.225544,0.403179
gamma-quantile_param_38,0.682844,0.568554,0.407456,0.998283
gamma-quantile_param_39,0.710121,0.709804,0.629956,0.792297
gamma-quantile_param_40,0.578100,0.577643,0.488999,0.669694
gamma-quantile_param_41,0.510427,0.509394,0.448697,0.577812
gamma-quantile_param_42,0.802510,0.804202,0.727886,0.871566
gamma-quantile_param_43,0.792657,0.794521,0.691838,0.883468
gamma-quantile_param_44,0.410242,0.387994,0.264993,0.955772
gamma-quantile_param_45,0.135854,0.133333,0.049248,0.237399
gamma-quantile_param_46,0.734912,0.674437,0.535447,0.999593
gamma-quantile_param_47,0.316806,0.317615,0.243327,0.387115
gamma-quantile_param_48,0.375510,0.375971,0.299624,0.449357
gamma-quantile_param_49,0.487189,0.487606,0.338559,0.633285
gamma-quantile_param_50,0.296307,0.296144,0.204268,0.388208
gamma-quantile_param_51,0.216210,0.215239,0.143542,0.293180
gamma-quantile_param_52,0.996340,0.998293,0.980551,0.999982
gamma-quantile_param_53,0.273383,0.270611,0.151083,0.410858
gamma-quantile_param_54,0.325083,0.325487,0.238986,0.409135
gamma-quantile_param_55,0.349004,0.349091,0.251220,0.447217
gamma-quantile_param_56,0.138946,0.136051,0.070086,0.223828
gamma-quantile_param_57,0.662168,0.664116,0.504051,0.811160
gamma-quantile_param_58,0.713441,0.711269,0.597489,0.835130
gamma-quantile_param_59,0.470757,0.471306,0.344261,0.591883
gamma-quantile_param_60,0.473906,0.474182,0.371077,0.577618
gamma-quantile_param_61,0.603081,0.597007,0.424560,0.964711
gamma-quantile_param_62,0.737896,0.737575,0.638399,0.837877
gamma-quantile_param_63,0.516246,0.515693,0.397964,0.637813
gamma-quantile_param_64,0.261466,0.261145,0.178119,0.344976
gamma-quantile_param_65,0.679127,0.681727,0.524373,0.819605
gamma-quantile_param_66,0.614640,0.615883,0.492125,0.727005
gamma-quantile_param_67,0.325255,0.324115,0.216791,0.442027
gamma-quantile_param_68,0.171554,0.166351,0.078997,0.294191
gamma-quantile_param_69,0.406048,0.405994,0.283170,0.532204
gamma-quantile_param_70,0.723488,0.723403,0.643002,0.803292
gamma-quantile_param_71,0.683912,0.691333,0.478447,0.846603
gamma-quantile_param_72,0.502728,0.503063,0.401522,0.602701
gamma-quantile_param_73,0.574464,0.534544,0.408595,0.994328
gamma-quantile_param_74,0.738113,0.727498,0.547059,0.998666
gamma-quantile_param_75,0.757904,0.702880,0.596911,0.999748
gamma-quantile_param_76,0.866837,0.834429,0.729512,0.999951
