param,mean,median,0.950_CI_LB,0.950_CI_UB
zeta-quantile_param_0,0.999804,0.999991,0.998580,1.000000
zeta-quantile_param_1,0.385235,0.344548,0.230978,0.779473
zeta-quantile_param_2,0.483883,0.444786,0.271854,0.882990
zeta-quantile_param_3,0.354189,0.351106,0.226987,0.502235
zeta-quantile_param_4,0.804623,0.811664,0.637771,0.937617
zeta-quantile_param_5,0.432082,0.429868,0.234703,0.645460
zeta-quantile_param_6,0.907226,0.933003,0.680095,0.995350
zeta-quantile_param_7,0.714177,0.716517,0.565724,0.846857
zeta-quantile_param_8,0.567235,0.569517,0.413668,0.708290
zeta-quantile_param_9,0.364845,0.361678,0.194057,0.544591
zeta-quantile_param_10,0.542878,0.544161,0.381929,0.695831
zeta-quantile_param_11,0.632157,0.636745,0.445868,0.793194
zeta-quantile_param_12,0.904099,0.931713,0.666188,0.996233
zeta-quantile_param_13,0.993326,0.998768,0.945641,0.999993
zeta-quantile_param_14,0.207675,0.206002,0.115851,0.310581
zeta-quantile_param_15,0.893613,0.926724,0.603883,0.993295
zeta-quantile_param_16,0.918868,0.944223,0.695721,0.994721
zeta-quantile_param_17,0.549926,0.550520,0.381457,0.717075
zeta-quantile_param_18,0.355225,0.352958,0.169959,0.558703
zeta-quantile_param_19,0.663934,0.666651,0.489757,0.831056
zeta-quantile_param_20,0.454566,0.455766,0.189561,0.725277
zeta-quantile_param_21,0.299909,0.296338,0.132065,0.490687
zeta-quantile_param_22,0.273041,0.250251,0.067474,0.599484
zeta-quantile_param_23,0.543251,0.552253,0.253179,0.801220
zeta-quantile_param_24,0.465938,0.467169,0.254046,0.669930
zeta-quantile_param_25,0.186042,0.164362,0.049598,0.442521
zeta-quantile_param_26,0.580790,0.574469,0.393274,0.799863
zeta-quantile_param_27,0.632743,0.628396,0.506830,0.799968
zeta-quantile_param_28,0.878603,0.896851,0.681701,0.977012
zeta-quantile_param_29,0.483501,0.485063,0.342537,0.618361
zeta-quantile_param_30,0.764007,0.765675,0.635440,0.882721
zeta-quantile_param_31,0.220558,0.199030,0.056468,0.496961
zeta-quantile_param_32,0.495697,0.482252,0.272873,0.771876
zeta-quantile_param_33,0.482989,0.484123,0.314432,0.652271
zeta-quantile_param_34,0.182646,0.177406,0.065997,0.335996
zeta-quantile_param_35,0.420539,0.419128,0.205236,0.643522
zeta-quantile_param_36,0.559016,0.554137,0.364462,0.774927
zeta-quantile_param_37,0.149874,0.142112,0.049424,0.298001
zeta-quantile_param_38,0.107156,0.089099,0.005586,0.311907
zeta-quantile_param_39,0.400453,0.398677,0.222135,0.584049
zeta-quantile_param_40,0.572210,0.573430,0.353407,0.779805
zeta-quantile_param_41,0.821226,0.821777,0.690297,0.946087
zeta-quantile_param_42,0.496458,0.499349,0.303238,0.675941
zeta-quantile_param_43,0.801708,0.822322,0.536921,0.966954
zeta-quantile_param_44,0.155852,0.140598,0.043183,0.348030
zeta-quantile_param_45,0.399688,0.324359,0.082742,0.933414
zeta-quantile_param_46,0.135262,0.123147,0.002335,0.367467
zeta-quantile_param_47,0.425498,0.423460,0.268787,0.587728
zeta-quantile_param_48,0.276849,0.273742,0.134793,0.438432
zeta-quantile_param_49,0.362631,0.351025,0.104273,0.688287
zeta-quantile_param_50,0.296722,0.289759,0.120606,0.510546
zeta-quantile_param_51,0.301070,0.297690,0.154389,0.469195
zeta-quantile_param_52,0.616523,0.648857,0.132929,0.966881
zeta-quantile_param_53,0.355623,0.347207,0.125191,0.631963
zeta-quantile_param_54,0.684866,0.688828,0.489304,0.847775
zeta-quantile_param_55,0.501506,0.496245,0.225838,0.811832
zeta-quantile_param_56,0.377761,0.377881,0.169371,0.595546
zeta-quantile_param_57,0.738097,0.760342,0.396316,0.949343
zeta-quantile_param_58,0.243044,0.234378,0.060756,0.472577
zeta-quantile_param_59,0.743602,0.765035,0.437563,0.933638
zeta-quantile_param_60,0.457842,0.457618,0.223809,0.686083
zeta-quantile_param_61,0.409611,0.404138,0.049931,0.812548
zeta-quantile_param_62,0.267650,0.259557,0.092360,0.487353
zeta-quantile_param_63,0.302255,0.292673,0.095232,0.568234
zeta-quantile_param_64,0.425891,0.423450,0.228451,0.632040
zeta-quantile_param_65,0.395943,0.387401,0.097582,0.754518
zeta-quantile_param_66,0.498267,0.498970,0.227702,0.771725
zeta-quantile_param_67,0.418478,0.411870,0.161786,0.709758
zeta-quantile_param_68,0.243323,0.231140,0.078737,0.481360
zeta-quantile_param_69,0.690156,0.704528,0.395235,0.896208
zeta-quantile_param_70,0.326945,0.324574,0.155720,0.510601
zeta-quantile_param_71,0.557584,0.562777,0.124999,0.968273
zeta-quantile_param_72,0.433575,0.430298,0.216109,0.662068
zeta-quantile_param_73,0.214194,0.205747,0.016077,0.471272
zeta-quantile_param_74,0.330954,0.312588,0.007710,0.755139
zeta-quantile_param_75,0.139908,0.139523,0.001696,0.346567
zeta-quantile_param_76,0.158953,0.154227,0.000506,0.438431
